,project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
7,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/URLUtilsTestCase.java,io.undertow.util.URLUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/URLUtils.java,io.undertow.util.URLUtils,0.418338109,1396.0,0.532110092,True,True,False,False,False,False,False,False,352,2656.121042501485,35,4,24,24,4,3,55,55,0,3,-0.15555555555555556,3,0.09090909090909093,0,0,0.0,11,4,0,4,35,122,517.8227103434896,33,11,23,23,1,1,44,43,1,1,-0.2222222222222222,8,0.2,0,0,0.0,10,1,1,0,16,False,False,False,False,False,False,True,False,0.6212290254731972,0.6734243720769882
8,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/PathTemplateTestCase.java,io.undertow.util.PathTemplateTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/PathTemplate.java,io.undertow.util.PathTemplate,0.5783059110000001,1641.0,0.8012048190000001,True,True,False,False,False,False,False,False,379,2514.186774817585,39,7,29,29,6,4,23,1,22,27,0.5,1,0.4166666666666667,0,0,0.0,10,6,0,5,38,140,737.2321554672153,26,7,20,20,0,0,15,15,0,2,-0.3,0,0.0,0,0,0.0,6,0,0,0,9,False,False,False,False,False,False,False,True,0.7340803643067678,0.682258584536612
9,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderValuesTestCase.java,io.undertow.util.HeaderValuesTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderValues.java,io.undertow.util.HeaderValues,0.171392827,2398.0,0.257692308,True,True,False,False,False,False,False,False,582,2657.634435079133,115,9,57,57,6,5,1368,1083,285,341,0.17794486215538846,9,0.15517241379310345,0,0,0.0,58,6,0,1,179,84,301.43122074958853,28,4,26,26,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,True,False,False,False,False,0.7896583617247385,0.17635698430240154
10,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/FlexBase64TestCase.java,io.undertow.util.FlexBase64TestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/FlexBase64.java,io.undertow.util.FlexBase64,0.032738095,336.0,0.434782609,True,True,False,False,False,False,False,False,1871,9842.726016731573,43,8,16,16,5,2,351,351,0,25,-0.003076923076923077,6,0.0,0,0,0.0,27,5,0,5,104,49,141.12998192752985,10,5,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,False,False,False,True,True,False,False,False,0.8042961399620161,0.3494827747344971
11,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/ETagUtilsTestCase.java,io.undertow.util.ETagUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/ETagUtils.java,io.undertow.util.ETagUtils,0.268698061,1083.0,0.279661017,False,False,False,False,False,False,False,False,305,1321.8322115714916,43,4,33,33,5,2,44,43,1,15,0.16666666666666666,2,0.2,0,0,0.0,10,5,0,4,44,55,134.55873564888876,4,4,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.6981584236025811,0.6860803365707397
12,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/CanonicalPathUtilsTestCase.java,io.undertow.util.CanonicalPathUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/CanonicalPathUtils.java,io.undertow.util.CanonicalPathUtils,0.828756058,1238.0,0.903225806,False,False,False,False,False,False,False,False,189,917.3838188224553,14,2,11,11,7,2,2,1,1,1,-1.0,0,0.6190476190476191,0,0,0.0,3,7,0,1,16,119,391.8540751575691,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,True,False,0.4981186234702666,0.7006932497024536
13,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/CookiesTestCase.java,io.undertow.util.CookiesTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/Cookies.java,io.undertow.util.Cookies,0.674102813,2062.0,0.912280702,True,True,False,False,False,False,False,False,380,2656.442210323743,58,8,49,49,3,1,36,36,0,7,-0.03571428571428571,4,0.1111111111111111,0,0,0.0,9,3,3,0,40,509,1645.7675485243435,204,10,177,177,0,0,351,351,0,1,-0.07692307692307693,0,0.0,0,0,0.0,27,0,0,0,28,False,False,False,False,False,False,True,True,0.3572381250560284,0.5849199570991375
14,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/SubstringMapTestCase.java,io.undertow.util.SubstringMapTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/SubstringMap.java,io.undertow.util.SubstringMap,0.6771844659999999,824.0,0.7777777779999999,True,True,False,False,False,False,False,False,245,1790.906971438974,40,4,24,24,5,2,70,20,50,59,0.4190476190476191,3,0.3,0,0,0.0,16,5,0,5,64,88,491.58500830105584,18,9,17,17,1,1,0,0,0,0,1.0,0,1.0,0,0,0.0,1,1,1,0,3,False,False,False,False,False,False,False,False,0.6676669144316724,0.021021028980612755
15,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/DateUtilsTestCase.java,io.undertow.util.DateUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/DateUtils.java,io.undertow.util.DateUtils,0.125307125,407.0,0.216216216,True,False,False,False,False,False,False,False,266,1626.5743375881632,54,9,39,39,12,6,96,87,9,15,0.01098901098901099,1,0.1111111111111111,0,0,0.0,15,12,0,12,39,111,488.31869547077935,30,8,26,26,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,6,False,False,False,False,False,False,False,False,0.7350273589293163,0.6946268975734711
16,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/server/handlers/file/PathResourceManagerTestCase.java,io.undertow.server.handlers.file.PathResourceManagerTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/server/handlers/resource/PathResourceManager.java,io.undertow.server.handlers.resource.PathResourceManager,0.342975207,968.0,0.533333333,True,True,False,True,False,False,False,True,485,3622.629199450154,128,20,103,103,14,9,137,0,163,166,0.5144927536231884,1,0.22,0,0,0.0,25,14,0,12,86,178,944.5232060497412,91,21,84,84,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,16,False,False,False,False,False,True,False,True,0.6684165937412117,0.5129811308080596
17,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/server/handlers/caching/CacheHandlerTestCase.java,io.undertow.server.handlers.caching.CacheHandlerTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/server/handlers/cache/CacheHandler.java,io.undertow.server.handlers.cache.CacheHandler,0.0,18.0,0.0,True,False,False,False,False,False,False,True,104,658.8344468181671,34,9,28,28,2,2,4,0,11,11,0.6,2,0.6666666666666666,0,0,0.0,6,2,0,2,13,102,455.4500971200027,27,17,25,25,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7,False,False,False,False,False,False,False,True,0.6622058326999346,0.4349891394376755
18,undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/server/handlers/builder/PredicatedHandlersParserTestCase.java,io.undertow.server.handlers.builder.PredicatedHandlersParserTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/server/handlers/builder/PredicatedHandlersParser.java,io.undertow.server.handlers.builder.PredicatedHandlersParser,0.485898469,2482.0,0.643734644,True,True,False,False,True,False,False,False,957,5669.049990631593,241,26,210,210,7,1,457,449,8,96,0.15172413793103448,4,0.08755760368663594,0,0,0.0,31,7,7,0,138,201,633.6825731146441,96,19,88,88,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,9,False,False,False,True,False,True,False,True,0.6264685422995253,0.17773418765864335
